source_code	source_code_description	length
E0221	Infrared heating pad system	27
E0225	"Hydrocollator unit, includes pads"	33
E0230	Ice cap or collar	17
E0231	"Non-contact wound warming device (temperature control unit, ac adapter and power cord) for use with warming card and wound cover"	128
E0232	Warming card for use with the non contact wound warming device and non contact wound warming wound cover	104
E0235	"Paraffin bath unit, portable (see medical supply code a4265 for paraffin)"	73
E0236	Pump for water circulating pad	30
E0238	"Non-electric heat pad, moist"	28
E0239	"Hydrocollator unit, portable"	28
E0240	"Bath/shower chair, with or without wheels, any size"	51
E0241	"Bath tub wall rail, each"	24
E0242	"Bath tub rail, floor base"	25
E0243	"Toilet rail, each"	17
E0244	Raised toilet seat	18
E0245	Tub stool or bench	18
E0246	Transfer tub rail attachment	28
E0247	Transfer bench for tub or toilet with or without commode opening	64
E0248	"Transfer bench, heavy duty, for tub or toilet with or without commode opening"	77
E0249	"Pad for water circulating heat unit, for replacement only"	57
E0250	"Hospital bed, fixed height, with any type side rails, with mattress"	67
E0251	"Hospital bed, fixed height, with any type side rails, without mattress"	70
E0255	"Hospital bed, variable height, hi-lo, with any type side rails, with mattress"	77
E0256	"Hospital bed, variable height, hi-lo, with any type side rails, without mattress"	80
E0260	"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, with mattress"	95
E0261	"Hospital bed, semi-electric (head and foot adjustment), with any type side rails, without mattress"	98
E0265	"Hospital bed, total electric (head, foot and height adjustments), with any type side rails, with mattress"	105
E0266	"Hospital bed, total electric (head, foot and height adjustments), with any type side rails, without mattress"	108
E0270	"Hospital bed, institutional type includes: oscillating, circulating and stryker frame, with mattress"	100
E0271	"Mattress, innerspring"	21
E0272	"Mattress, foam rubber"	21
E0273	Bed board	9
E0274	Over-bed table	14
E0275	"Bed pan, standard, metal or plastic"	35
E0276	"Bed pan, fracture, metal or plastic"	35
E0277	Powered pressure-reducing air mattress	38
E0280	"Bed cradle, any type"	20
E0290	"Hospital bed, fixed height, without side rails, with mattress"	61
E0291	"Hospital bed, fixed height, without side rails, without mattress"	64
E0292	"Hospital bed, variable height, hi-lo, without side rails, with mattress"	71
E0293	"Hospital bed, variable height, hi-lo, without side rails, without mattress"	74
E0294	"Hospital bed, semi-electric (head and foot adjustment), without side rails, with mattress"	89
E0295	"Hospital bed, semi-electric (head and foot adjustment), without side rails, without mattress"	92
E0296	"Hospital bed, total electric (head, foot and height adjustments). without side rails, with mattress"	99
E0297	"Hospital bed, total electric (head, foot and height adjustments), without side rails, without mattress"	102
E0300	"Pediatric crib, hospital grade, fully enclosed, with or without top enclosure"	77
E0301	"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, without mattress"	164
E0302	"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, without mattress"	132
E0303	"Hospital bed, heavy duty, extra wide, with weight capacity greater than 350 pounds, but less than or equal to 600 pounds, with any type side rails, with mattress"	161
E0304	"Hospital bed, extra heavy duty, extra wide, with weight capacity greater than 600 pounds, with any type side rails, with mattress"	129
E0305	"Bed side rails, half length"	27
E0310	"Bed side rails, full length"	27
E0315	"Bed accessory: board, table, or support device, any type"	56
E0316	"Safety enclosure frame/canopy for use with hospital bed, any type"	65
E0325	"Urinal; male, jug-type, any material"	36
E0326	"Urinal; female, jug-type, any material"	38
E0328	"Hospital bed, pediatric, manual, 360 degree side enclosures, top of headboard, footboard and side rails up to 24 inches above the spring, includes mattress"	155
E0329	"Hospital bed, pediatric, electric or semi-electric, 360 degree side enclosures, top of headboard, footboard and side rails up to 24 inches above the spring, includes mattress"	174
E0350	Control unit for electronic bowel irrigation/evacuation system	62
E0352	"Disposable pack (water reservoir bag, speculum, valving mechanism and collection bag/box) for use with the electronic bowel irrigation/evacuation system"	152
E0370	Air pressure  elevator for heel	31
E0371	"Nonpowered advanced pressure reducing overlay for mattress, standard mattress length and width"	94
E0372	"Powered air overlay for mattress, standard mattress length and width"	68
E0373	Nonpowered advanced pressure reducing mattress	46
E0424	"Stationary compressed gaseous oxygen system, rental; includes container, contents, regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"	155
E0425	"Stationary compressed gas system, purchase; includes regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"	125
E0430	"Portable gaseous oxygen system, purchase; includes regulator, flowmeter, humidifier, cannula or mask, and tubing"	112
E0431	"Portable gaseous oxygen system, rental; includes portable container, regulator, flowmeter, humidifier, cannula or mask, and tubing"	130
E0433	"Portable liquid oxygen system, rental; home liquefier used to fill portable liquid oxygen containers, includes portable containers, regulator, flowmeter, humidifier, cannula or mask and tubing, with or without supply reservoir and contents gauge"	245
E0434	"Portable liquid oxygen system, rental; includes portable container, supply reservoir, humidifier, flowmeter, refill adaptor, contents gauge, cannula or mask, and tubing"	168
E0435	"Portable liquid oxygen system, purchase; includes portable container, supply reservoir, flowmeter, humidifier, contents gauge, cannula or mask, tubing and refill adaptor"	169
E0439	"Stationary liquid oxygen system, rental; includes container, contents, regulator, flowmeter, humidifier, nebulizer, cannula or mask, & tubing"	141
E0440	"Stationary liquid oxygen system, purchase; includes use of reservoir, contents indicator, regulator, flowmeter, humidifier, nebulizer, cannula or mask, and tubing"	162
E0441	"Stationary oxygen contents, gaseous, 1 month's supply = 1 unit"	62
E0442	"Stationary oxygen contents, liquid, 1 month's supply = 1 unit"	61
E0443	"Portable oxygen contents, gaseous, 1 month's supply = 1 unit"	60
E0444	"Portable oxygen contents, liquid, 1 month's supply = 1 unit"	59
E0445	Oximeter device for measuring blood oxygen levels non-invasively	64
E0446	"Topical oxygen delivery system, not otherwise specified, includes all supplies and accessories"	94
E0450	"Volume control ventilator, without pressure support mode, may include pressure control mode, used with invasive interface (e.g., tracheostomy tube)"	147
E0455	"Oxygen tent, excluding croup or pediatric tents"	47
E0457	Chest shell (cuirass)	21
E0459	Chest wrap	10
E0460	Negative pressure ventilator;  portable or stationary	53
E0461	"Volume control ventilator, without pressure support mode, may include pressure control mode,  used with non-invasive interface (e.g. mask)"	138
E0462	Rocking bed with or without side rails	38
E0463	"Pressure support ventilator with volume control mode, may include pressure control mode, used with invasive interface (e.g. tracheostomy tube)"	142
E0464	"Pressure support ventilator with volume control mode, may include pressure control mode, used with non-invasive interface (e.g. mask)"	133
E0470	"Respiratory assist device, bi-level pressure capability, without backup rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)"	222
E0471	"Respiratory assist device, bi-level pressure capability, with back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)"	220
E0472	"Respiratory assist device, bi-level pressure capability, with backup rate feature, used with invasive interface, e.g., tracheostomy tube (intermittent assist device with continuous positive airway pressure device)"	213
E0480	"Percussor, electric or pneumatic, home model"	44
E0481	Intrapulmonary percussive ventilation system and related accessories	68
E0482	"Cough stimulating device, alternating positive and negative airway pressure"	75
E0483	"High frequency chest wall oscillation air-pulse generator system, (includes hoses and vest), each"	97
E0484	"Oscillatory positive expiratory pressure device, non-electric, any type, each"	77
E0485	"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, prefabricated, includes fitting and adjustment"	142
E0486	"Oral device/appliance used to reduce upper airway collapsibility, adjustable or non-adjustable, custom fabricated, includes fitting and adjustment"	146
E0487	"Spirometer, electronic, includes all accessories"	48
E0500	"Ippb machine,  all types, with built-in nebulization; manual or automatic valves; internal or external power source"	115
E0550	"Humidifier, durable for extensive supplemental humidification during ippb treatments or oxygen delivery"	103
E0555	"Humidifier, durable, glass or autoclavable plastic bottle type, for use with regulator or flowmeter"	99
E0560	"Humidifier, durable for supplemental humidification during ippb treatment or oxygen delivery"	92
E0561	"Humidifier, non-heated, used with positive airway pressure device"	65
E0562	"Humidifier, heated, used with positive airway pressure device"	61
E0565	"Compressor, air power source for equipment which is not self- contained or cylinder driven"	90
E0570	"Nebulizer, with compressor"	26
E0571	"Aerosol compressor, battery powered, for use with small volume nebulizer"	72
E0572	"Aerosol compressor, adjustable pressure, light duty for intermittent use"	72
E0574	Ultrasonic/electronic aerosol generator with small volume nebulizer	67
E0575	"Nebulizer, ultrasonic, large volume"	35
E0580	"Nebulizer, durable, glass or autoclavable plastic, bottle type, for use with regulator or flowmeter"	99
E0585	"Nebulizer, with compressor and heater"	37
E0600	"Respiratory suction pump, home model, portable or stationary, electric"	70
E0601	Continuous positive airway pressure (cpap) device	49
E0602	"Breast pump, manual, any type"	29
E0603	"Breast pump, electric (ac and/or dc), any type"	46
E0604	"Breast pump, hospital grade, electric (ac and / or dc), any type"	64
E0605	"Vaporizer, room type"	20
E0606	Postural drainage board	23
E0607	Home blood glucose monitor	26
E0610	"Pacemaker monitor, self-contained, (checks battery depletion, includes audible and visible check systems)"	105
E0615	"Pacemaker monitor, self contained, checks battery depletion and other pacemaker components, includes digital/visible check systems"	130
E0616	"Implantable cardiac event recorder with memory, activator and programmer"	72
E0617	External defibrillator with integrated electrocardiogram analysis	65
E0618	"Apnea monitor, without recording feature"	40
E0619	"Apnea monitor, with recording feature"	37
E0620	"Skin piercing device for collection of capillary blood, laser, each"	67
E0621	"Sling or seat, patient lift, canvas or nylon"	44
E0625	"Patient lift, bathroom or toilet, not otherwise classified"	58
E0627	Seat lift mechanism incorporated into a combination lift-chair mechanism	72
E0628	Separate seat lift mechanism for use with patient owned furniture-electric	74
E0629	Separate seat lift mechanism for use with patient owned furniture-non-electric	78
E0630	"Patient lift, hydraulic or mechanical, includes any seat, sling, strap(s) or pad(s)"	83
